date_kst,date_utc,open,high,low,close,volume,value_krw,change_rate,change_price,market,timestamp,prev_closing_price
2017-09-25 09:00:00,2017-09-25,4201000.0,4333000.0,4175000.0,4322000.0,132.48475499,560214613.8164,0.028802666,121000.0,KRW-BTC,1506383997779,4201000.0
2017-09-26 09:00:00,2017-09-26,4317000.0,4418000.0,4311000.0,4321000.0,22.78833969,99507239.78705,-0.0002313744,-1000.0,KRW-BTC,1506470368661,4322000.0
2017-09-27 09:00:00,2017-09-27,4322000.0,4677000.0,4318000.0,4657000.0,32.2696617,144827622.95669,0.0777597778,336000.0,KRW-BTC,1506556751533,4321000.0
2017-09-28 09:00:00,2017-09-28,4657000.0,4772000.0,4519000.0,4586000.0,80.5882434,372185978.32992,-0.0152458664,-71000.0,KRW-BTC,1506643183630,4657000.0
2017-09-29 09:00:00,2017-09-29,4586000.0,4709000.0,4476000.0,4657000.0,59.35237346,272455756.80078,0.0154819014,71000.0,KRW-BTC,1506729571852,4586000.0
2017-09-30 09:00:00,2017-09-30,4657000.0,4896000.0,4651000.0,4895000.0,19.99848332,95614755.70559,0.0511058621,238000.0,KRW-BTC,1506815987704,4657000.0
2017-10-01 09:00:00,2017-10-01,4889000.0,4978000.0,4682000.0,4962000.0,27.32333246,133132538.89401,0.0136874362,67000.0,KRW-BTC,1506902400205,4895000.0
2017-10-02 09:00:00,2017-10-02,4962000.0,5095000.0,4956000.0,5025000.0,31.72800385,159931532.80646,0.0126964933,63000.0,KRW-BTC,1506988764731,4962000.0
2017-10-03 09:00:00,2017-10-03,5021000.0,5079000.0,4811000.0,4964000.0,11.89930699,58901304.61549,-0.0121393035,-61000.0,KRW-BTC,1507075131482,5025000.0
2017-10-04 09:00:00,2017-10-04,4987000.0,5002000.0,4837000.0,4895000.0,7.03874388,34588125.30359,-0.0139000806,-69000.0,KRW-BTC,1507161584430,4964000.0
2017-10-05 09:00:00,2017-10-05,4894000.0,4993000.0,4811000.0,4926000.0,5.36365175,26371319.19136,0.0063329928,31000.0,KRW-BTC,1507247992606,4895000.0
